Severity,Start_Time,Year,Month,Weekday,Hour,State,City,Weather_Condition,Temperature_F,Humidity_pct,Visibility_mi,Wind_Speed_mph,Precipitation_in,Sunrise_Sunset,Distance_mi
3,2016-03-04 06:44:45,2016,3,Friday,6,OH,Dayton,Overcast,30.9,96.0,2.5,12.7,,Night,0.01
3,2016-03-04 07:24:07,2016,3,Friday,7,IN,Columbus,Overcast,30.2,100.0,7.0,13.8,,Day,0.384
2,2016-03-04 08:33:12,2016,3,Friday,8,OH,Columbus,Overcast,32.0,88.0,6.0,9.2,,Day,0.01
2,2016-03-08 12:14:36,2016,3,Tuesday,12,OH,Dayton,Clear,70.2,43.0,10.0,18.4,,Day,0.01
2,2016-03-09 16:23:05,2016,3,Wednesday,16,KY,Erlanger,Light Rain,60.1,93.0,3.0,4.6,0.04,Day,0.873
3,2016-03-10 09:32:41,2016,3,Thursday,9,OH,Columbus,Mostly Cloudy,59.0,93.0,10.0,9.2,0.0,Day,0.01
2,2016-03-11 06:15:39,2016,3,Friday,6,OH,Cleveland,Overcast,37.9,89.0,10.0,9.2,,Night,0.18
3,2016-03-11 07:28:40,2016,3,Friday,7,OH,Milan,,,,,,,Day,0.01
2,2016-03-15 08:48:24,2016,3,Tuesday,8,OH,Bowling Green,Overcast,51.1,77.0,10.0,4.6,,Day,1.937
4,2016-03-16 19:54:44,2016,3,Wednesday,19,OH,New Carlisle,Partly Cloudy,56.8,32.0,10.0,12.7,,Night,1.47
2,2016-03-17 18:26:17,2016,3,Thursday,18,OH,Cincinnati,Mostly Cloudy,60.1,24.0,10.0,9.2,,Day,0.221
4,2016-03-18 08:33:05,2016,3,Friday,8,OH,Gibsonburg,Clear,39.0,67.0,10.0,6.9,,Day,1.505
4,2016-03-20 07:19:43,2016,3,Sunday,7,OH,Sullivan,Overcast,30.0,69.0,10.0,9.2,,Night,1.036
2,2016-03-22 19:01:40,2016,3,Tuesday,19,CA,Sacramento,Clear,59.0,49.0,10.0,5.8,,Day,0.01
3,2016-03-22 23:20:42,2016,3,Tuesday,23,CA,Richmond,Clear,54.0,69.0,10.0,3.5,,Night,0.01
2,2016-03-23 08:37:30,2016,3,Wednesday,8,CA,Calabasas,Clear,59.0,29.0,10.0,13.8,,Day,0.01
3,2016-03-23 09:40:12,2016,3,Wednesday,9,CA,Oakland,Mostly Cloudy,55.0,64.0,10.0,,,Day,0.01
2,2016-03-23 13:32:23,2016,3,Wednesday,13,CA,Los Angeles,Clear,75.0,18.0,10.0,3.5,,Day,0.199
2,2016-03-23 14:47:19,2016,3,Wednesday,14,CA,Spring Valley,Clear,78.8,13.0,10.0,9.2,,Day,0.0
4,2016-03-23 15:11:48,2016,3,Wednesday,15,NJ,Cape May Court House,Clear,69.8,27.0,10.0,6.9,,Day,0.01
2,2016-03-23 15:48:01,2016,3,Wednesday,15,NY,Bronx,Mostly Cloudy,69.1,22.0,10.0,6.9,,Day,0.223
2,2016-03-23 17:40:40,2016,3,Wednesday,17,NY,Yonkers,Mostly Cloudy,70.0,22.0,10.0,6.9,,Day,0.206
2,2016-03-23 18:08:55,2016,3,Wednesday,18,CA,Irvine,Partly Cloudy,71.1,20.0,10.0,6.9,,Day,0.01
2,2016-03-23 18:28:55,2016,3,Wednesday,18,NJ,Ridgefield,Clear,66.0,25.0,10.0,5.8,,Day,0.442
2,2016-03-23 20:36:01,2016,3,Wednesday,20,CA,Walnut,Clear,59.0,29.0,10.0,,,Night,0.208
3,2016-03-24 00:00:00,2016,3,Thursday,0,CA,Ontario,Clear,57.0,34.0,10.0,,,Night,0.01
3,2016-03-24 03:11:20,2016,3,Thursday,3,CA,Benicia,Clear,50.0,77.0,10.0,3.5,,Night,0.01
3,2016-03-24 05:15:43,2016,3,Thursday,5,NE,Omaha,Overcast,32.0,87.0,7.0,10.4,,Night,0.01
2,2016-03-24 07:04:14,2016,3,Thursday,7,OH,Dayton,Overcast,60.1,60.0,10.0,17.3,,Night,0.01
3,2016-03-24 08:09:17,2016,3,Thursday,8,CA,Redwood City,Partly Cloudy,48.2,93.0,10.0,,,Day,0.01
4,2016-03-24 09:04:52,2016,3,Thursday,9,OH,Batavia,Overcast,62.8,60.0,10.0,13.8,,Day,1.63
2,2016-03-24 10:10:18,2016,3,Thursday,10,CA,Carpinteria,Clear,64.9,48.0,10.0,4.6,,Day,0.01
3,2016-03-24 22:17:09,2016,3,Thursday,22,CA,Sacramento,Clear,57.2,67.0,10.0,,,Night,0.01
4,2016-03-25 13:34:03,2016,3,Friday,13,CA,Foster City,Scattered Clouds,66.2,52.0,10.0,12.7,,Day,0.13
3,2016-03-25 14:26:46,2016,3,Friday,14,CA,Sherman Oaks,Clear,81.0,23.0,10.0,8.1,,Day,0.01
3,2016-03-25 17:53:31,2016,3,Friday,17,CA,South Pasadena,Clear,70.0,47.0,10.0,4.6,,Day,0.67
3,2016-03-25 20:54:07,2016,3,Friday,20,CA,Los Angeles,Clear,62.1,70.0,10.0,,,Night,0.01
2,2016-03-25 21:05:58,2016,3,Friday,21,CA,Roseville,Clear,62.6,48.0,10.0,3.5,,Night,0.01
3,2016-03-26 06:16:45,2016,3,Saturday,6,CA,Chula Vista,Clear,53.1,86.0,9.0,6.9,,Night,0.259
2,2016-03-26 21:52:35,2016,3,Saturday,21,CA,Placerville,Clear,53.6,51.0,10.0,5.8,,Night,0.01
2,2016-03-27 21:21:28,2016,3,Sunday,21,CA,Hacienda Heights,Mostly Cloudy,64.4,68.0,10.0,5.8,,Night,0.01
2,2016-03-28 05:05:44,2016,3,Monday,5,NY,Brooklyn,Overcast,44.6,93.0,6.0,15.0,,Night,0.25
2,2016-03-28 09:02:33,2016,3,Monday,9,CA,San Bernardino,Overcast,55.4,77.0,5.0,,,Day,0.0
2,2016-03-28 14:09:50,2016,3,Monday,14,CA,Rio Linda,Mostly Cloudy,57.2,44.0,9.0,13.8,,Day,0.0
2,2016-03-28 15:27:49,2016,3,Monday,15,CA,Valley Village,Clear,62.1,44.0,10.0,18.4,,Day,0.209
2,2016-03-28 15:54:18,2016,3,Monday,15,CA,San Jose,Scattered Clouds,60.1,39.0,10.0,13.8,,Day,0.01
2,2016-03-28 17:37:03,2016,3,Monday,17,CA,Corona,Overcast,57.9,56.0,10.0,9.2,,Day,0.001
3,2016-03-28 19:02:44,2016,3,Monday,19,CA,Benicia,Mostly Cloudy,57.0,47.0,10.0,9.2,,Day,0.01
2,2016-03-29 08:33:21,2016,3,Tuesday,8,OH,Dayton,Partly Cloudy,36.0,89.0,7.0,8.1,,Day,0.01
3,2016-03-29 08:45:47,2016,3,Tuesday,8,CA,Pleasanton,Clear,46.0,76.0,10.0,3.5,,Day,0.0
2,2016-03-29 10:35:35,2016,3,Tuesday,10,CA,Diamond Bar,Clear,55.4,51.0,10.0,,,Day,0.0
2,2016-03-29 10:37:53,2016,3,Tuesday,10,CA,Sacramento,Clear,53.6,54.0,10.0,4.6,,Day,0.0
3,2016-03-29 15:52:58,2016,3,Tuesday,15,CA,Fairfield,Mostly Cloudy,64.6,39.0,10.0,6.9,,Day,0.0
2,2016-03-29 16:07:44,2016,3,Tuesday,16,NJ,Florham Park,Clear,53.6,15.0,10.0,18.4,,Day,0.059
3,2016-03-29 17:05:24,2016,3,Tuesday,17,NY,Bronx,Clear,52.0,24.0,10.0,26.5,,Day,0.014
2,2016-03-29 17:21:25,2016,3,Tuesday,17,CA,Castro Valley,Clear,63.0,35.0,10.0,16.1,,Day,0.0
2,2016-03-29 17:49:35,2016,3,Tuesday,17,NJ,Sicklerville,Clear,55.0,20.0,10.0,16.1,,Day,0.373
2,2016-03-29 18:27:01,2016,3,Tuesday,18,CA,Los Angeles,Partly Cloudy,59.0,53.0,10.0,6.9,,Day,0.0
2,2016-03-29 18:35:45,2016,3,Tuesday,18,CA,Ladera Ranch,Scattered Clouds,57.0,67.0,10.0,11.5,,Day,0.0
2,2016-03-29 19:16:13,2016,3,Tuesday,19,CA,San Diego,Mostly Cloudy,53.6,77.0,10.0,17.3,,Night,0.0
2,2016-03-29 20:22:00,2016,3,Tuesday,20,CA,Folsom,Clear,51.8,54.0,10.0,5.8,,Night,0.0
3,2016-03-29 20:53:52,2016,3,Tuesday,20,OH,Columbus,Clear,43.0,58.0,10.0,6.9,,Night,8.392000000000001
2,2016-03-29 21:45:58,2016,3,Tuesday,21,CA,San Jose,Clear,54.0,41.0,10.0,5.8,,Night,0.0
3,2016-03-30 06:23:30,2016,3,Wednesday,6,OH,Tipp City,Scattered Clouds,39.0,62.0,10.0,12.7,,Night,0.01
3,2016-03-30 07:24:39,2016,3,Wednesday,7,CA,Tracy,Clear,39.9,79.0,10.0,4.6,,Day,0.0
4,2016-03-30 10:33:22,2016,3,Wednesday,10,PA,Lebanon,Clear,45.9,30.0,10.0,8.1,,Day,0.8490000000000001
3,2016-03-30 13:07:14,2016,3,Wednesday,13,CA,West Sacramento,Clear,64.0,48.0,10.0,4.6,,Day,0.0
2,2016-03-30 14:50:35,2016,3,Wednesday,14,CA,Corte Madera,Partly Cloudy,64.4,59.0,10.0,12.7,,Day,0.297
3,2016-03-30 15:17:56,2016,3,Wednesday,15,CA,Los Angeles,Partly Cloudy,63.0,50.0,10.0,9.2,,Day,0.0
3,2016-03-30 15:30:01,2016,3,Wednesday,15,NJ,Belmar,,,,,,,Day,0.389
2,2016-03-30 16:19:01,2016,3,Wednesday,16,RI,Pawtucket,Clear,55.4,23.0,10.0,10.4,,Day,2.303
4,2016-03-30 17:26:46,2016,3,Wednesday,17,KY,Versailles,Clear,71.1,41.0,10.0,11.5,,Day,0.67
3,2016-03-30 19:25:53,2016,3,Wednesday,19,CA,Sylmar,Scattered Clouds,55.4,54.0,10.0,4.6,,Night,0.0
3,2016-03-30 22:23:55,2016,3,Wednesday,22,CA,Monrovia,Scattered Clouds,57.2,48.0,10.0,5.8,,Night,0.0
2,2016-03-31 13:58:22,2016,3,Thursday,13,CA,Pasadena,,,,,,,Day,0.327
2,2016-03-31 14:28:18,2016,3,Thursday,14,CA,Burbank,Clear,73.9,20.0,10.0,12.7,,Day,0.0
3,2016-03-31 14:58:35,2016,3,Thursday,14,CA,Pleasant Hill,Clear,71.1,42.0,10.0,11.5,,Day,0.0
3,2016-03-31 16:39:10,2016,3,Thursday,16,CA,San Leandro,Scattered Clouds,61.0,64.0,10.0,24.2,,Day,0.0
4,2016-03-31 17:41:40,2016,3,Thursday,17,NJ,Perth Amboy,Mostly Cloudy,71.8,42.0,10.0,5.8,,Day,0.17
2,2016-04-01 00:24:59,2016,4,Friday,0,CA,Berkeley,Mostly Cloudy,54.0,80.0,10.0,8.1,,Night,0.0
3,2016-04-01 06:09:24,2016,4,Friday,6,NJ,Newark,Overcast,66.0,81.0,10.0,5.8,,Night,0.134
3,2016-04-01 10:29:15,2016,4,Friday,10,CA,Los Angeles,Clear,66.0,50.0,10.0,3.5,,Day,0.0
3,2016-04-01 11:23:08,2016,4,Friday,11,CA,Los Angeles,Clear,71.1,44.0,10.0,,,Day,0.0
2,2016-04-01 12:18:27,2016,4,Friday,12,CA,Santa Clara,Scattered Clouds,61.0,60.0,10.0,8.1,,Day,0.0
3,2016-04-01 18:19:18,2016,4,Friday,18,OH,Cleveland,Mostly Cloudy,46.9,80.0,10.0,11.5,0.0,Day,0.01
3,2016-04-01 19:20:19,2016,4,Friday,19,CA,Fallbrook,Clear,61.0,72.0,7.0,6.9,,Night,0.0
2,2016-04-01 19:40:27,2016,4,Friday,19,CA,Sacramento,Clear,62.6,72.0,10.0,4.6,,Night,0.0
2,2016-04-01 19:42:07,2016,4,Friday,19,CA,Los Angeles,Clear,61.0,72.0,10.0,3.5,,Night,0.0
3,2016-04-02 02:16:08,2016,4,Saturday,2,CA,Los Angeles,Clear,55.9,87.0,10.0,,,Night,0.0
2,2016-04-02 02:46:08,2016,4,Saturday,2,CA,Calabasas,Clear,55.9,80.0,10.0,,,Night,0.0
3,2016-04-02 12:00:12,2016,4,Saturday,12,CA,Redlands,Clear,77.0,19.0,10.0,4.6,,Day,0.0
3,2016-04-02 22:50:50,2016,4,Saturday,22,CA,Emeryville,Mostly Cloudy,53.1,83.0,10.0,8.1,,Night,0.0
2,2016-04-03 04:31:16,2016,4,Sunday,4,CA,Los Gatos,Overcast,55.0,83.0,10.0,,,Night,0.0
2,2016-04-03 10:30:39,2016,4,Sunday,10,CA,Sacramento,Clear,64.0,67.0,10.0,3.5,,Day,0.0
3,2016-04-03 14:49:10,2016,4,Sunday,14,CA,Arcadia,Clear,82.4,23.0,10.0,11.5,,Day,0.0
3,2016-04-03 16:49:09,2016,4,Sunday,16,CA,Martinez,Clear,70.0,49.0,10.0,8.1,,Day,0.0
3,2016-04-03 18:35:37,2016,4,Sunday,18,CA,San Leandro,Scattered Clouds,57.9,72.0,10.0,16.1,,Day,0.0
4,2016-04-04 00:17:45,2016,4,Monday,0,OH,Cincinnati,Clear,55.0,47.0,10.0,13.8,,Night,3.466
4,2016-04-04 00:54:51,2016,4,Monday,0,OH,Cincinnati,Clear,55.0,47.0,10.0,13.8,,Night,3.403
2,2016-04-04 01:28:46,2016,4,Monday,1,CA,Pleasanton,Clear,52.0,86.0,10.0,5.8,,Night,0.0
2,2016-04-04 04:35:00,2016,4,Monday,4,CA,Palmdale,Clear,52.0,49.0,10.0,,,Night,0.0
2,2016-04-04 07:08:49,2016,4,Monday,7,CA,Woodland,Clear,48.0,89.0,10.0,3.5,,Day,0.05
3,2016-04-04 11:01:37,2016,4,Monday,11,CA,Santa Ana,Partly Cloudy,66.9,63.0,10.0,,,Day,0.0
2,2016-04-04 11:05:51,2016,4,Monday,11,CA,Granada Hills,Clear,75.9,32.0,10.0,3.5,,Day,0.0
2,2016-04-04 11:30:27,2016,4,Monday,11,CA,Sunnyvale,Clear,64.9,63.0,10.0,9.2,,Day,0.0
3,2016-04-04 13:12:55,2016,4,Monday,13,CA,Fairfield,Clear,66.0,73.0,10.0,9.2,,Day,0.0
2,2016-04-04 14:06:57,2016,4,Monday,14,CT,Bozrah,Snow,28.0,81.0,0.5,8.1,0.0,Day,2.507
2,2016-04-04 15:12:29,2016,4,Monday,15,CA,Valencia,Fair,83.0,19.0,10.0,7.0,0.0,Day,0.0
2,2016-04-04 17:20:27,2016,4,Monday,17,CA,Artesia,Clear,79.0,25.0,10.0,13.8,,Day,0.0
2,2016-04-04 23:13:35,2016,4,Monday,23,CA,San Bernardino,Partly Cloudy,68.0,33.0,7.0,4.6,,Night,0.0
2,2016-04-05 07:32:20,2016,4,Tuesday,7,CA,Union City,Clear,54.0,69.0,10.0,4.6,,Day,0.353
2,2016-04-05 07:47:50,2016,4,Tuesday,7,CA,Encino,Clear,61.0,50.0,10.0,,,Day,0.136
2,2016-04-05 09:09:03,2016,4,Tuesday,9,CA,Cerritos,Clear,62.1,75.0,7.0,,,Day,0.0
2,2016-04-05 10:45:38,2016,4,Tuesday,10,CA,Clarksburg,Clear,69.1,39.0,10.0,13.8,,Day,0.0
2,2016-04-05 10:46:51,2016,4,Tuesday,10,CA,Rancho Cordova,Clear,66.2,37.0,10.0,15.0,,Day,0.0
2,2016-04-05 11:20:12,2016,4,Tuesday,11,CA,Castro Valley,Clear,68.0,50.0,10.0,8.1,,Day,0.404
3,2016-04-05 14:09:21,2016,4,Tuesday,14,CA,Glendora,Clear,82.4,20.0,10.0,5.8,,Day,0.0
2,2016-04-05 19:22:26,2016,4,Tuesday,19,CA,Sacramento,Clear,73.4,33.0,10.0,4.6,,Day,0.0
3,2016-04-05 20:11:51,2016,4,Tuesday,20,CA,Pomona,Clear,73.4,36.0,10.0,5.8,,Night,0.0
3,2016-04-05 20:55:43,2016,4,Tuesday,20,CA,Los Angeles,Clear,64.9,73.0,10.0,,,Night,0.0
2,2016-04-05 21:55:34,2016,4,Tuesday,21,CA,Concord,Clear,66.0,42.0,10.0,4.6,,Night,0.0
2,2016-04-06 08:59:25,2016,4,Wednesday,8,RI,Pawtucket,Clear,30.2,37.0,10.0,,,Day,0.557
2,2016-04-06 10:10:11,2016,4,Wednesday,10,CA,San Jose,Partly Cloudy,70.0,36.0,10.0,,,Day,0.395
2,2016-04-06 10:51:55,2016,4,Wednesday,10,CA,Woodland Hills,Clear,86.0,20.0,10.0,4.6,,Day,0.0
2,2016-04-06 11:45:37,2016,4,Wednesday,11,CA,Carmichael,Clear,75.2,38.0,9.0,4.6,,Day,0.0
2,2016-04-06 12:17:28,2016,4,Wednesday,12,CA,San Jose,Scattered Clouds,80.1,27.0,10.0,3.5,,Day,0.0
2,2016-04-06 20:23:59,2016,4,Wednesday,20,CA,Lake Elsinore,Clear,60.8,55.0,10.0,5.8,,Night,0.0
2,2016-04-06 20:27:44,2016,4,Wednesday,20,CA,Livermore,Clear,68.0,55.0,10.0,3.5,,Night,0.0
2,2016-04-06 20:43:42,2016,4,Wednesday,20,CA,Placentia,Clear,64.9,,10.0,,,Night,0.0
3,2016-04-07 02:28:13,2016,4,Thursday,2,CA,Pasadena,,,,,,,Night,0.0
2,2016-04-07 05:46:13,2016,4,Thursday,5,NY,Astoria,Partly Cloudy,53.1,71.0,10.0,5.8,,Night,0.0
3,2016-04-07 06:54:00,2016,4,Thursday,6,KY,Covington,Light Rain,46.0,96.0,10.0,9.2,0.01,Night,0.0819999999999999
2,2016-04-07 09:53:46,2016,4,Thursday,9,CA,Antioch,Clear,63.0,63.0,10.0,10.4,,Day,0.0
4,2016-04-07 10:28:44,2016,4,Thursday,10,NY,Duanesburg,Overcast,57.2,67.0,10.0,11.5,,Day,2.9330000000000003
3,2016-04-07 11:24:53,2016,4,Thursday,11,CA,Sacramento,Clear,73.0,48.0,10.0,8.1,,Day,0.0
2,2016-04-07 12:28:48,2016,4,Thursday,12,OH,Dayton,Overcast,42.8,70.0,10.0,16.1,,Day,0.01
3,2016-04-07 12:33:52,2016,4,Thursday,12,CA,El Monte,Overcast,68.0,52.0,10.0,5.8,,Day,0.0
3,2016-04-07 13:36:17,2016,4,Thursday,13,CA,San Diego,Light Rain,64.0,78.0,8.0,9.2,0.05,Day,0.0
2,2016-04-07 14:26:57,2016,4,Thursday,14,CA,Long Beach,Light Rain,63.0,70.0,10.0,,0.01,Day,0.0
2,2016-04-07 14:32:13,2016,4,Thursday,14,CA,Coronado,Overcast,63.0,87.0,7.0,4.6,0.01,Day,0.0
2,2016-04-07 17:17:46,2016,4,Thursday,17,CA,Pomona,Scattered Clouds,62.6,77.0,10.0,,,Day,0.0
3,2016-04-07 17:57:16,2016,4,Thursday,17,CA,Escondido,Overcast,62.1,84.0,10.0,5.8,0.0,Day,0.0
2,2016-04-07 19:01:00,2016,4,Thursday,19,CA,Los Angeles,Overcast,62.1,80.0,9.0,3.5,0.0,Day,0.0
3,2016-04-07 20:20:35,2016,4,Thursday,20,CA,Newhall,Cloudy,63.0,81.0,10.0,3.0,0.0,Night,0.0
2,2016-04-07 23:18:56,2016,4,Thursday,23,CA,Los Gatos,Scattered Clouds,61.0,72.0,10.0,10.4,,Night,1.6469999999999998
3,2016-04-08 00:50:17,2016,4,Friday,0,CA,Carson,Overcast,60.8,100.0,8.0,,,Night,0.0
2,2016-04-08 07:44:52,2016,4,Friday,7,CA,San Bernardino,Drizzle,55.4,88.0,4.0,,,Day,0.319
2,2016-04-08 08:25:29,2016,4,Friday,8,CA,Palmdale,Light Rain,57.0,87.0,10.0,,0.0,Day,0.081
2,2016-04-08 09:11:29,2016,4,Friday,9,CA,San Jose,Light Rain,60.1,80.0,9.0,5.8,0.0,Day,0.257
3,2016-04-08 14:18:00,2016,4,Friday,14,OH,Hilliard,,39.0,73.0,8.0,10.4,0.0,Day,0.01
2,2016-04-08 15:52:42,2016,4,Friday,15,CA,Carmichael,Clear,73.4,50.0,8.0,8.1,,Day,0.0
4,2016-04-08 21:00:00,2016,4,Friday,21,NJ,Bayonne,Scattered Clouds,44.1,38.0,10.0,4.6,,Night,0.898
4,2016-04-09 06:30:45,2016,4,Saturday,6,OH,Troy,Light Snow,27.0,85.0,3.0,23.0,0.01,Night,3.97
3,2016-04-09 12:20:43,2016,4,Saturday,12,CA,Pleasant Hill,Light Rain,60.1,83.0,6.0,6.9,,Day,0.01
2,2016-04-09 13:07:54,2016,4,Saturday,13,CA,San Bernardino,Overcast,64.4,52.0,10.0,6.9,,Day,0.01
2,2016-04-09 15:45:26,2016,4,Saturday,15,CA,Oakland,Overcast,63.0,75.0,10.0,9.2,,Day,0.01
2,2016-04-09 16:54:16,2016,4,Saturday,16,CA,San Jose,Overcast,60.8,88.0,10.0,4.6,,Day,0.01
4,2016-04-09 21:06:10,2016,4,Saturday,21,CA,Roseville,Overcast,57.2,94.0,10.0,8.1,,Night,0.228
2,2016-04-10 02:20:51,2016,4,Sunday,2,CA,San Mateo,Light Rain,57.2,94.0,5.0,4.6,,Night,0.01
3,2016-04-10 03:33:22,2016,4,Sunday,3,CA,San Leandro,Light Rain,57.0,83.0,5.0,10.4,,Night,0.01
2,2016-04-10 07:38:55,2016,4,Sunday,7,CA,Los Angeles,Clear,60.1,78.0,10.0,,,Day,0.407
4,2016-04-10 10:14:31,2016,4,Sunday,10,CT,Hebron,Clear,37.9,32.0,10.0,10.4,,Day,1.908
3,2016-04-10 11:55:13,2016,4,Sunday,11,CA,Los Angeles,Mostly Cloudy,68.0,59.0,10.0,,,Day,0.01
2,2016-04-10 12:33:25,2016,4,Sunday,12,CA,Bellflower,Clear,66.9,63.0,10.0,10.4,,Day,0.01
2,2016-04-10 15:18:48,2016,4,Sunday,15,MA,Woburn,Clear,46.9,20.0,10.0,13.8,,Day,0.085
2,2016-04-11 08:00:08,2016,4,Monday,8,NY,Long Island City,Overcast,46.9,63.0,10.0,5.8,,Day,0.246
2,2016-04-11 10:24:58,2016,4,Monday,10,CA,Anaheim,Mostly Cloudy,64.0,65.0,10.0,3.5,,Day,3.41
3,2016-04-11 12:12:20,2016,4,Monday,12,CA,Walnut Creek,Overcast,64.0,56.0,10.0,5.8,,Day,0.01
2,2016-04-11 13:01:00,2016,4,Monday,13,CA,Bonita,Mostly Cloudy,66.9,63.0,10.0,8.1,,Day,0.01
2,2016-04-11 14:15:55,2016,4,Monday,14,CA,Sacramento,Mostly Cloudy,69.1,57.0,10.0,6.9,,Day,0.0
3,2016-04-11 16:19:50,2016,4,Monday,16,CA,Sacramento,Mostly Cloudy,68.0,59.0,10.0,3.5,,Day,0.01
2,2016-04-11 16:52:05,2016,4,Monday,16,CA,Los Angeles,Clear,70.0,51.0,10.0,5.8,,Day,0.01
2,2016-04-11 17:24:01,2016,4,Monday,17,CA,Auburn,Mostly Cloudy,64.4,68.0,10.0,6.9,,Day,0.01
2,2016-04-11 20:08:09,2016,4,Monday,20,CA,Sacramento,Clear,63.0,70.0,10.0,6.9,,Night,0.01
2,2016-04-11 20:26:28,2016,4,Monday,20,CA,Napa,Mostly Cloudy,57.0,87.0,10.0,9.2,,Night,0.0
3,2016-04-12 00:41:01,2016,4,Tuesday,0,CA,Richmond,Clear,52.0,83.0,10.0,3.5,0.0,Night,0.01
2,2016-04-12 07:34:45,2016,4,Tuesday,7,NJ,Kearny,Light Rain,57.2,88.0,10.0,16.1,0.0,Day,0.307
2,2016-04-12 07:47:15,2016,4,Tuesday,7,NE,Omaha,Scattered Clouds,34.9,53.0,10.0,6.9,,Day,0.428
2,2016-04-12 09:17:05,2016,4,Tuesday,9,CA,San Francisco,Overcast,55.0,77.0,10.0,18.4,,Day,0.01
2,2016-04-12 11:16:50,2016,4,Tuesday,11,CA,Granada Hills,Clear,69.1,54.0,10.0,4.6,,Day,0.01
3,2016-04-12 11:46:36,2016,4,Tuesday,11,CA,San Jose,Overcast,59.0,67.0,10.0,5.8,,Day,0.01
2,2016-04-12 11:46:52,2016,4,Tuesday,11,CA,El Cajon,Mostly Cloudy,69.8,56.0,10.0,,,Day,0.01
2,2016-04-12 12:30:53,2016,4,Tuesday,12,NE,Elkhorn,Clear,56.1,28.0,10.0,12.7,,Day,0.0
4,2016-04-12 12:44:55,2016,4,Tuesday,12,KY,Carrollton,Mostly Cloudy,51.1,46.0,10.0,4.6,,Day,9.355
2,2016-04-12 14:14:50,2016,4,Tuesday,14,CA,Sun Valley,Clear,71.1,51.0,10.0,10.4,,Day,0.01
2,2016-04-12 16:01:50,2016,4,Tuesday,16,CA,Sacramento,Clear,66.2,60.0,10.0,11.5,,Day,0.01
2,2016-04-12 17:20:37,2016,4,Tuesday,17,NY,Bronx,Scattered Clouds,57.9,33.0,10.0,13.8,,Day,0.038
2,2016-04-12 19:20:11,2016,4,Tuesday,19,CA,Phelan,Clear,64.8,44.0,10.0,15.0,,Night,0.01
3,2016-04-12 19:52:24,2016,4,Tuesday,19,CA,Downey,Clear,62.1,78.0,10.0,9.2,,Night,0.01
3,2016-04-12 20:49:48,2016,4,Tuesday,20,CA,Los Angeles,Clear,60.1,80.0,10.0,,,Night,0.01
2,2016-04-13 06:12:53,2016,4,Wednesday,6,CA,Berkeley,Mostly Cloudy,55.0,80.0,10.0,8.1,,Night,0.5
2,2016-04-13 07:52:50,2016,4,Wednesday,7,CT,New Haven,Clear,39.9,63.0,10.0,8.1,,Day,0.136
